HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME,LABEL_ID,RATING_TIME_STAMP,RATING_INTENSITY,RATING_CONFIDENCE
2015-11-19 16:33:33.991,2015-11-19 16:33:21.245,2015-11-19 16:33:33.986,Stairs,l13011419151518,2015-11-19 16:33:21.245,,
2015-11-19 16:33:34.603,2015-11-19 16:33:23.547,2015-11-19 16:33:34.595,Down,l13011419151518,2015-11-19 16:33:23.547,,
2015-11-19 16:35:52.158,2015-11-19 16:34:06.717,2015-11-19 16:35:52.152,Telling Story,l13011419151518,2015-11-19 16:34:06.717,,
2015-11-19 16:36:19.178,2015-11-19 16:33:19.272,2015-11-19 16:36:19.172,Walking,l13011419151518,2015-11-19 16:33:19.272,,
2015-11-19 16:36:48.409,2015-11-19 16:36:47.668,2015-11-19 16:36:48.404,Natural,l13011419151518,2015-11-19 16:36:47.668,,
2015-11-19 16:37:07.093,2015-11-19 16:36:48.884,2015-11-19 16:37:07.088,Vending Machine,l13011419151518,2015-11-19 16:36:48.884,,
2015-11-19 16:37:07.443,2015-11-19 16:36:19.181,2015-11-19 16:37:07.439,Standing,l13011419151518,2015-11-19 16:36:19.181,,
2015-11-19 16:39:13.175,2015-11-19 16:39:11.219,2015-11-19 16:39:13.166,Telling Story,l13011419151518,2015-11-19 16:39:11.219,,
2015-11-19 16:39:53.463,2015-11-19 16:38:23.375,2015-11-19 16:39:53.458,Up,l13011419151518,2015-11-19 16:38:23.375,,
2015-11-19 16:39:54.117,2015-11-19 16:38:20.917,2015-11-19 16:39:54.112,Stairs,l13011419151518,2015-11-19 16:38:20.917,,
2015-11-19 16:40:02.483,2015-11-19 16:37:08.017,2015-11-19 16:40:02.476,Walking,l13011419151518,2015-11-19 16:37:08.017,,
2015-11-19 16:41:31.002,2015-11-19 16:40:02.487,2015-11-19 16:41:30.994,Standing,l13011419151518,2015-11-19 16:40:02.487,,
2015-11-19 16:41:32.714,2015-11-19 16:39:14.210,2015-11-19 16:41:32.709,Telling Story,l13011419151518,2015-11-19 16:39:14.210,,
2015-11-19 16:42:17.556,2015-11-19 16:41:33.951,2015-11-19 16:42:17.552,Stairs,l13011419151518,2015-11-19 16:41:33.951,,
2015-11-19 16:42:18.026,2015-11-19 16:41:34.989,2015-11-19 16:42:18.021,Down,l13011419151518,2015-11-19 16:41:34.989,,
2015-11-19 16:42:18.978,2015-11-19 16:41:31.007,2015-11-19 16:42:18.974,Walking,l13011419151518,2015-11-19 16:41:31.007,,
2015-11-19 16:43:19.548,2015-11-19 16:42:36.417,2015-11-19 16:43:19.541,Walking,l13011419151518,2015-11-19 16:42:36.417,,
2015-11-19 16:51:30.256,2015-11-19 16:43:22.758,2015-11-19 16:51:30.252,Biking,l13011419151518,2015-11-19 16:43:22.758,,
2015-11-19 16:51:30.263,2015-11-19 16:43:24.183,2015-11-19 16:51:30.252,Outdoors,l13011419151518,2015-11-19 16:43:24.183,,
2015-11-19 16:52:45.548,2015-11-19 16:51:41.963,2015-11-19 16:52:45.538,Stairs,l13011419151518,2015-11-19 16:51:41.963,,
2015-11-19 16:52:45.555,2015-11-19 16:51:42.767,2015-11-19 16:52:45.538,Up,l13011419151518,2015-11-19 16:51:42.767,,
2015-11-19 16:52:45.565,2015-11-19 16:51:44.373,2015-11-19 16:52:45.538,Bag,l13011419151518,2015-11-19 16:51:44.373,,
2015-11-19 16:52:45.572,2015-11-19 16:51:47.434,2015-11-19 16:52:45.538,Walking,l13011419151518,2015-11-19 16:51:47.434,,
2015-11-19 16:53:04.039,2015-11-19 16:52:46.131,2015-11-19 16:53:04.032,Walking,l13011419151518,2015-11-19 16:52:46.131,,
2015-11-19 16:53:04.047,2015-11-19 16:52:49.514,2015-11-19 16:53:04.032,Bag,l13011419151518,2015-11-19 16:52:49.514,,
2015-11-19 16:54:50.046,2015-11-19 16:54:03.240,2015-11-19 16:54:50.040,Shelf Unload,l13011419151518,2015-11-19 16:54:03.240,,
2015-11-19 16:55:50.974,2015-11-19 16:53:56.617,2015-11-19 16:55:50.968,Standing,l13011419151518,2015-11-19 16:53:56.617,,
2015-11-19 16:55:50.989,2015-11-19 16:54:49.192,2015-11-19 16:55:50.968,Shelf Reload,l13011419151518,2015-11-19 16:54:49.192,,
2015-11-19 16:57:30.256,2015-11-19 16:56:08.864,2015-11-19 16:57:30.250,Lying,l13011419151518,2015-11-19 16:56:08.864,,
2015-11-19 17:00:05.524,2015-11-19 16:58:23.666,2015-11-19 16:59:59.999,Telling Story,l13011419151518,2015-11-19 16:58:23.666,,
2015-11-19 17:00:09.392,2015-11-19 16:57:31.746,2015-11-19 16:59:59.999,Sitting,l13011419151518,2015-11-19 16:57:31.746,,
