ANNOTATION_LABELS,ACTIVITY,POSTURE,ACTIVITY_GROUP,SEDENTARY_AMBULATION_CYCLING
city frisbee other,Unknown,Unknown,Unknown,Unknown
frisbee outdoors,Unknown,Unknown,Unknown,Unknown
frisbee outdoors walking,Unknown,Unknown,Unknown,Unknown
lower body movement stairs standing up upper body movement vending machine walking,Unknown,Unknown,Unknown,Unknown
phone talking stairs up walking,Unknown,Unknown,Unknown,Unknown
lying phone talking stairs up walking,Lying on the back,Lying,Lying,Sedentary
reclining texting,Reclining and using phone,Sitting,Sitting,Sedentary
biking reclining texting,Reclining and using phone,Sitting,Sitting,Sedentary
300 kpm/min biking,Stationary cycle ergometry,Sitting,Biking,Cycling
1 mph 300 kpm/min biking walking,Stationary cycle ergometry,Sitting,Biking,Cycling
1 mph arms on desk telling story treadmill walking,Level treadmill walking at 1 mph with arms on desk,Upright,Walking,Ambulation
3.5 mph bag treadmill walking,Level treadmill walking at 3-3.5 mph and carrying a bag,Upright,Walking,Ambulation
3.5 mph bag dominant hand treadmill walking,Level treadmill walking at 3-3.5 mph and carrying a bag,Upright,Walking,Ambulation
3 mph dominant hand phone talking treadmill walking,Level treadmill walking at 3-3.5 mph while holding a phone with dominant arm to the ear and talking,Upright,Walking,Ambulation
telling story treadmill walking,Level treadmill walking at 3-3.5 mph while talking,Upright,Walking,Ambulation
still telling story treadmill walking,Level treadmill walking at 3-3.5 mph while talking,Upright,Walking,Ambulation
laundry standing upper body movement,Standing and folding towels,Upright,Standing,Others
standing sweeping telling story upper body movement,Standing and sweeping,Upright,Standing,Others
standing still sweeping telling story upper body movement,Standing and sweeping,Upright,Standing,Others
arms on desk sitting,Unknown,Unknown,Unknown,Unknown
sitting web browsing,Sitting and typing on a keyboard,Sitting,Sitting,Others
reclining standing telling story,Reclining and talking,Sitting,Sitting,Sedentary
arms on desk standing telling story web browsing,Standing and typing on a keyboard,Upright,Standing,Others
arms on desk standing writing,Standing and writing at a table,Upright,Standing,Others
arms on desk standing walking writing,Standing and writing at a table,Upright,Standing,Others
stairs walking,Unknown,Unknown,Unknown,Unknown
down stairs walking,Unknown,Unknown,Unknown,Unknown
outdoors stairs walking,Unknown,Unknown,Unknown,Unknown
outdoors standing telling story waiting,Unknown,Unknown,Unknown,Unknown
mbta standing,Unknown,Unknown,Unknown,Unknown
mbta standing telling story,Unknown,Unknown,Unknown,Unknown
mbta outdoors stop light walking,Unknown,Unknown,Unknown,Unknown
standing stop light telling story,Unknown,Unknown,Unknown,Unknown
vending machine walking,Unknown,Unknown,Unknown,Unknown
upper body movement vending machine walking,Unknown,Unknown,Unknown,Unknown
stairs up walking,Unknown,Unknown,Unknown,Unknown
stairs telling story up walking,Unknown,Unknown,Unknown,Unknown
outdoors,Unknown,Unknown,Unknown,Unknown
escalator standing up,Unknown,Unknown,Unknown,Unknown
escalator standing up walking,Unknown,Unknown,Unknown,Unknown
down escalator standing,Unknown,Unknown,Unknown,Unknown
phone talking telling story walking,Unknown,Unknown,Unknown,Unknown
mbta telling story walking,Unknown,Unknown,Unknown,Unknown
escalator mbta standing up,Unknown,Unknown,Unknown,Unknown
down mbta stairs walking,Unknown,Unknown,Unknown,Unknown
carrying drinking outdoors walking,Unknown,Unknown,Unknown,Unknown
bag outdoors walking,Unknown,Unknown,Unknown,Unknown
bag escalator telling story walking,Unknown,Unknown,Unknown,Unknown
shelf unload walking,Standing loading/unloading shelf,Upright,Standing,Others
shelf reload walking,Standing loading/unloading shelf,Upright,Standing,Others
sitting sweeping,Standing and sweeping,Upright,Standing,Others
sitting sweeping telling story,Sitting and talking,Sitting,Sitting,Sedentary
sitting telling story,Sitting and talking,Sitting,Sitting,Sedentary
300 kpm/min biking treadmill walking,Stationary cycle ergometry,Sitting,Biking,Cycling
phone talking treadmill walking supported,Level treadmill walking at 3-3.5 mph while holding a phone with dominant arm to the ear and talking,Upright,Walking,Ambulation
carrying drinking treadmill walking supported,Level treadmill walking at 3-3.5 mph and carrying a drink,Upright,Walking,Ambulation
telling story treadmill walking supported,Level treadmill walking at 3-3.5 mph while talking,Upright,Walking,Ambulation
standing sweeping telling story,Standing and sweeping,Upright,Standing,Others
